time_s,mach,altitude_m,qbar_kPa,T_static_K,T_stagnation_K,q_nose_Wm2,q_fin_LE_Wm2,T_nose_surf_K,T_fin_surf_K
31.48000000000212,0.7189155367439453,1573.2213702272418,30.950575977952983,277.93979330722516,306.6698487900714,27684.99403048627,61905.52860884319,465.7968248972678,683.2018490062023
31.490000000002123,0.7189059272792975,1572.3433256363544,30.95294582930282,277.94549181662006,306.6753682848802,27685.313782371,61906.24359579337,465.82391722241067,683.2604990092381
31.500000000002125,0.7188964086035361,1571.4644362374909,30.955326746320658,277.9511958088187,306.6809010644864,27685.645388131663,61906.98508881595,465.8510096820274,683.3191484502169
31.510000000002126,0.7188869806499677,1570.584702173905,30.957718725576523,277.95690528289134,306.68644712264773,27685.98884067154,61907.75307204216,465.8781022880299,683.3777973555318
31.520000000002128,0.7188776433518783,1569.7041235888842,30.960121763645347,277.96262023790814,306.6920064531233,27686.344132901955,61908.54752962126,465.9051950523228,683.4364457515596
31.53000000000213,0.7188683966425332,1568.8227006257484,30.962535857106875,277.9683406729389,306.6975790496739,27686.71125774227,61909.36844572041,465.93228798680366,683.4950936646602
31.54000000000213,0.718859240455177,1567.9404334278518,30.964961002545735,277.97406658705324,306.7031649060617,27687.09020811982,61910.21580452471,465.9593811033626,683.5537411211769
31.550000000002132,0.7188501747230338,1567.0573221385814,30.967397196551364,277.9797979793206,306.70876401605057,27687.480976969924,61911.08959023703,465.9864744138827,683.6123881474366
31.560000000002134,0.718841199379307,1566.1733669013586,30.969844435718077,277.9855348488102,306.7143763734056,27687.883557235902,61911.98978707817,466.0135679302398,683.6710347697496
31.570000000002135,0.7188323143571795,1565.2885678596376,30.972302716644986,277.9912771945909,306.72000197189374,27688.29794186899,61912.91637928658,466.04066166430243,683.7296810144095
31.580000000002137,0.7188235195898136,1564.4029251569068,30.974772035936002,277.99702501573165,306.7256408052833,27688.72412382835,61913.86935111849,466.0677556279321,683.7883269076937
31.59000000000214,0.7188148150103514,1563.5164389366882,30.977252390199883,278.00277831130086,306.7312928673441,27689.162096081072,61914.84868684784,466.094849832983,683.8469724758628
31.60000000000214,0.718806200551914,1562.629109342538,30.979743776050125,278.0085370803669,306.7369581518473,27689.611851602098,61915.8543707661,466.12194429130227,683.9056177451613
31.61000000000214,0.7187976761476027,1561.7409365180458,30.98224619010505,278.01430132199783,306.74263665256575,27690.073383374292,61916.8863871825,466.14903901472974,683.9642627418168
31.620000000002143,0.7187892417304979,1560.8519206068356,30.98475962898776,278.0200710352616,306.74832836327374,27690.546684388322,61917.94472042371,466.1761340150981,684.0229074920409
31.630000000002145,0.7187808972336599,1559.9620617525654,30.98728408932608,278.02584621922585,306.75403327774717,27691.03174764271,61919.029354833896,466.20322930423305,684.0815520220284
31.640000000002146,0.7187726425901287,1559.0713600989272,30.989819567752637,278.03162687295793,306.75975138976287,27691.528566143792,61920.14027477479,466.23032489395297,684.140196357958
31.650000000002148,0.718764477732924,1558.1798157896476,30.992366060904796,278.0374129955252,306.76548269309984,27692.037132905698,61921.277464625506,466.2574207960692,684.1988405259916
31.66000000000215,0.718756402595045,1557.2874289684871,30.994923565424614,278.0432045859945,306.7712271815381,27692.557440950317,61922.440908782526,466.28451702238596,684.2574845522753
31.67000000000215,0.7187484171094709,1556.394199779241,30.99749207795894,278.0490016434327,306.77698484885923,27693.089483307307,61923.63059165967,466.3116135847003,684.3161284629383
31.680000000002153,0.7187405212091607,1555.5001283657389,31.000071595159294,278.0548041669063,306.78275568884635,27693.633253014068,61924.846497688086,466.3387104948021,684.3747722840939
31.690000000002154,0.7187327148270531,1554.6052148718445,31.002662113681954,278.0606121554817,306.78853969528393,27694.188743115734,61926.08861131624,466.3658077644743,684.4334160418388
31.700000000002156,0.718724997896067,1553.7094594414568,31.00526363018783,278.0664256082249,306.7943368619578,27694.755946665093,61927.35691700968,466.3929054054927,684.4920597622535
31.710000000002157,0.7187173703491009,1552.812862218509,31.00787614134259,278.07224452420184,306.80014718265534,27695.334856722675,61928.6513992513,466.42000342962587,684.5507034714022
31.72000000000216,0.7187098321190333,1551.9154233469694,31.01049964381654,278.07806890247815,306.8059706511655,27695.925466356613,61929.97204254096,466.44710184863544,684.6093471953329
31.73000000000216,0.7187023831387225,1551.0171429708407,31.01313413428467,278.08389874211923,306.81180726127826,27696.52776864273,61931.31883139571,466.4742006742759,684.6679909600773
31.740000000002162,0.7186950233410074,1550.118021234161,31.015779609426637,278.0897340421903,306.81765700678545,27697.141756664456,61932.691750349666,466.5012999182947,684.7266347916508
31.750000000002164,0.7186877526587061,1549.2180582810029,31.018436065926725,278.09557480175624,306.8235198814798,27697.767423512803,61934.090783953834,466.5283995924323,684.7852787160526
31.760000000002165,0.7186805710246176,1548.3172542554744,31.021103500473906,278.10142101988197,306.82939587915604,27698.404762286435,61935.51591677637,466.555499708422,684.8439227592659
31.770000000002167,0.7186734783715205,1547.4156093017184,31.02378190976176,278.1072726956318,306.83528499360983,27699.053766091532,61936.96713340222,466.58260027799014,684.9025669472574
31.78000000000217,0.7186664746321738,1546.513123563913,31.026471290488487,278.11312982807016,306.8411872186384,27699.714428041865,61938.44441843331,466.6097013128559,684.9612113059777
31.79000000000217,0.7186595597393163,1545.6097971862719,31.0291716393569,278.11899241626105,306.8471025480405,27700.386741258677,61939.947756488276,466.6368028247316,685.0198558613616
31.80000000000217,0.7186527336256676,1544.7056303130437,31.031882953074454,278.12486045926835,306.8530309756159,27701.07069887081,61941.477132202745,466.66390482532245,685.0785006393274
31.810000000002173,0.718645996223927,1543.8006230885126,31.03460522835315,278.13073395615555,306.85897249516614,27701.766294014524,61943.032530228906,466.69100732632666,685.1371456657774
31.820000000002175,0.7186393474667744,1542.8947756569983,31.0373384619096,278.13661290598606,306.8649271004938,27702.47351983361,61944.613935235815,466.71811033943544,685.1957909665979
31.830000000002176,0.71863278728687,1541.988088162856,31.04008265046501,278.142497307823,306.8708947854031,27703.192369479293,61946.22133190916,466.745213876333,685.2544365676589
31.840000000002178,0.718626315616854,1541.0805607504767,31.042837790745107,278.1483871607294,306.8768755436995,27703.922836110218,61947.85470495123,466.7723179486966,685.3130824948145
31.85000000000218,0.7186199323893475,1540.1721935642868,31.04560387948024,278.15428246376774,306.8828693691897,27704.66491289252,61949.51403908096,466.7994225681964,685.3717287739026
31.86000000000218,0.7186136375369517,1539.2629867487487,31.048380913405268,278.1601832160006,306.88887625568196,27705.418592999675,61951.199319033854,466.8265277464957,685.4303754307455
31.870000000002182,0.7186074309922483,1538.3529404483606,31.051168889259593,278.16608941649014,306.89489619698577,27706.183869612552,61952.91052956185,466.8536334952508,685.4890224911488
31.880000000002184,0.7186013126877996,1537.4420548076569,31.05396780378716,278.1720010642983,306.9009291869119,27706.960735919423,61954.64765543344,466.88073982611104,685.5476699809027
31.890000000002185,0.7185952825561481,1536.5303299712073,31.056777653736415,278.1779181584868,306.9069752192725,27707.74918511586,61956.41068143347,466.9078467507189,685.606317925781
31.900000000002187,0.7185893405298175,1535.617766083618,31.059598435860355,278.1838406981173,306.9130342878813,27708.549210404817,61958.19959236329,466.9349542807097,685.6649663515419
31.91000000000219,0.7185834865413113,1534.7043632895318,31.06243014691645,278.18976868225093,306.91910638655287,27709.36080499651,61960.0143730405,466.962062427712,685.7236152839273
31.92000000000219,0.7185777205231143,1533.7901217336266,31.065272783666668,278.19570210994874,306.92519150910334,27710.18396210849,61961.85500829906,466.9891712033474,685.7822647486634
